client_id,topic,category_id
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,40
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,17
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,4
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,11
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,40
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,5
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,17
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,40
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,17
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,4
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,4
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,40
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,17
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,4
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,11
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,40
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,5
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,17
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,2
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,40
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,17
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,19
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,4
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4,4
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,19
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,40
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,14
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,40
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,14
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,2
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,7
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4,0
